match_num,group,date,team1,team2,score1,score2,yellow1,red1,yellow2,red2
1,A,11 Jun,Mexico,Sudafrica,2,0,1,1,2,2
2,A,11 Jun,Corea del Sur,Republica Checa,2,1,1,0,0,0
3,B,12 Jun,Canada,Bosnia y Herzegovina,1,1,2,0,3,0
4,D,12 Jun,Estados Unidos,Paraguay,4,1,1,0,5,0
5,C,13 Jun,Haiti,Escocia,0,1,1,0,3,0
6,D,13 Jun,Australia,Turquia,2,0,0,0,1,0
7,C,13 Jun,Brasil,Marruecos,1,1,2,0,0,0
8,B,13 Jun,Catar,Suiza,1,1,2,0,1,0
9,E,14 Jun,Alemania,Curazao,7,1,0,0,0,0
10,E,14 Jun,Costa de Marfil,Ecuador,1,0,3,0,1,0
11,F,14 Jun,Paises Bajos,Japon,2,2,3,0,0,0
12,F,14 Jun,Suecia,Tunez,5,1,0,0,1,0
13,H,15 Jun,Arabia Saudita,Uruguay,1,1,1,0,0,0
14,H,15 Jun,Espana,Cabo Verde,0,0,1,0,1,0
15,G,15 Jun,Iran,Nueva Zelanda,2,2,1,0,0,0
16,G,15 Jun,Belgica,Egipto,1,1,2,0,2,0
17,I,16 Jun,Francia,Senegal,3,1,0,0,0,0
18,I,16 Jun,Irak,Noruega,1,4,1,0,0,0
19,J,16 Jun,Argentina,Argelia,3,0,0,0,0,0 
20,J,16 Jun,Austria,Jordania,3,1,1,0,0,0
21,L,17 Jun,Ghana,Panama,1,0,1,0,2,0
22,L,17 Jun,Inglaterra,Croacia,4,2,0,0,0,0
23,K,17 Jun,Portugal,R. D. del Congo,1,1,3,0,1,0
24,K,17 Jun,Uzbekistan,Colombia,1,3,1,0,1,0
25,A,18 Jun,Republica Checa,Sudafrica,1,1,1,0,2,0
26,B,18 Jun,Suiza,Bosnia y Herzegovina,4,1,1,0,2,1
27,B,18 Jun,Canada,Catar,6,0,1,0,1,2
28,A,18 Jun,Mexico,Corea del Sur,1,0,0,0,2,0
29,C,19 Jun,Brasil,Haiti,3,0,1,0,3,0
30,C,19 Jun,Escocia,Marruecos,0,1,1,0,1,0
31,D,19 Jun,Turquia,Paraguay,0,1,1,0,1,1
32,D,19 Jun,Estados Unidos,Australia,2,0,3,0,4,0
33,E,20 Jun,Alemania,Costa de Marfil,2,1,0,0,0,0
34,E,20 Jun,Ecuador,Curazao,0,0,1,0,5,0
35,F,20 Jun,Paises Bajos,Suecia,5,1,0,0,3,0
36,F,20 Jun,Tunez,Japon,0,4,0,0,0,0
37,H,21 Jun,Uruguay,Cabo Verde,2,2,2,0,2,0
38,H,21 Jun,Espana,Arabia Saudita,4,0,0,0,2,0 
39,G,21 Jun,Belgica,Iran,0,0,1,1,1,0
40,G,21 Jun,Nueva Zelanda,Egipto,1,3,2,0,1,0
41,I,22 Jun,Noruega,Senegal,3,2,0,0,0,0
42,I,22 Jun,Francia,Irak,3,0,0,0,1,0
43,J,22 Jun,Argentina,Austria,2,0,2,0,2,0
44,J,22 Jun,Jordania,Argelia,1,2,1,0,1,0
45,L,23 Jun,Inglaterra,Ghana,0,0,1,0,1,0
46,L,23 Jun,Panama,Croacia,0,1,1,0,1,0
47,K,23 Jun,Portugal,Uzbekistan,5,0,1,0,1,0
48,K,23 Jun,Colombia,R. D. del Congo,1,0,2,0,1,0
