pais,song_name,url
Mexico,Aquí Se Juega El Mundial,https://youtu.be/nfmS13E-kv0?si=KJBFnEZ5_T1tp6Nx
Sudafrica,Bafana Bafana,https://youtu.be/esuTu0wmrig?si=LQWhShs-0OM-XwSj
Corea del Sur,각성,https://youtu.be/fg_u6yWCKRo?si=UYu6_MwznGeKng_p
Republica Checa,Rudá Linie,https://youtu.be/e7Y6hEPJsck?si=Fr0DZhI-fiZySu1k
Canada,North of the Game,https://youtu.be/owKChrUbbfo?si=tJBfzrQwM8BT-75B
Bosnia y Herzegovina,Zmajevi,https://youtu.be/j5sqdAzVm88?si=jKMRu_LzV5Z-TLoJ
Catar,Nabḍ as-Saḥāb,https://youtu.be/ot1HU4-3R-U?si=IT5CaEPXRw-W_B9B
Suiza,Rote Präzision,https://youtu.be/Ezg6KDnm6ps?si=ZBbkbpffFQg2ojdU
Brasil,A Ginga do Hexa,https://youtu.be/8BsyyNVxCN8?si=r9aBKgToaGTgeXFE
Marruecos,Hada Nẓam,https://youtu.be/9OBwCpo2Tho?si=0HRiw6TOUz30PEWj
Haiti,Kè ble a jwe,https://youtu.be/88af08WMGDQ?si=r8FekH2wG-iyA2XS
Escocia,Alba Stands,https://youtu.be/fnu0mnVgtu8?si=DvbhXxqAmLj2ODyJ
Estados Unidos,Home of the Brave Game,https://youtu.be/lfvxmivp7MM?si=y6A5wy2pJ0bWaxTC
Paraguay,Mbareté,https://youtu.be/4s6fORCPIVA?si=26Ntez1zON6jdWPj
Australia,Southern Skies,https://youtu.be/OWllgXT2oA0?si=RX_tsKgAvr6vCKNE
Turquia,Kırmızı Beyaz,https://youtu.be/6TZSzq9HhhM?si=QPWvOU3ggegcAQPG
Alemania,fußball-lebt!,https://youtu.be/-MEobpgBa04?si=8CdulmbIkGzctLkW
Curazao,Dushi Futbòl,https://youtu.be/u0z-FRB6k_8?si=h1lA_0YDbafN2PQT
Costa de Marfil,Les Éléphants Avancent,https://youtu.be/WMchpAqqomU?si=koedKGR7Qhj0HH8a
Ecuador,Mitad del Mundo,https://youtu.be/ql8ubt0Ep7c?si=OnVb7-CT7Dl1qJxq
Paises Bajos,Oranje Machine,https://youtu.be/quFu8T6ha1c?si=vHfJc5-Wi3N6oCj_
Japon,Blue Kodō,https://youtu.be/boamQ_TeGa0?si=fp-exFsJSBtWeFo9
Suecia,Signal,https://youtu.be/S-GjYvQ9meA?si=NevXWQn5wP9U0a3V
Tunez,Hakka El Koura,https://youtu.be/e4fVaKXJNdQ?si=4vdPwGOC3YcPeP_0
Belgica,Diables de la Place,https://youtu.be/ORvONGv1aHs?si=ignPjPiVtJNIH1cp
Egipto,Sout el Nil,https://youtu.be/QnSuGoeJ11Q?si=XScLKaSF7H2de7iy
Iran,Sedâ-ye Meydân,https://youtu.be/ZIJABEqeUyE?si=c3q5OOsmlSoa5TLn
Nueva Zelanda,Te Ara o te Kēmu,https://youtu.be/7hPuJAiaJCs?si=CGhDtxmL39sd3uak
Espana,Creer,https://youtu.be/vQBy-ezo8yg?si=uh42OU9HO-EO3Kz5
Cabo Verde,Tubarões na onda,https://youtu.be/07tSkDMsUA8?si=VMHA8JpDCoOTPKno
Arabia Saudita,Najd Pulse,https://youtu.be/nep2towV-x4?si=Yo0lO9AQUGJy9EqW
Uruguay,La Celeste Cuenta…,https://youtu.be/pdt00JdaOH4?si=8Uj-g6tmRi27Gsn_
Francia,Toujours fiers,https://youtu.be/nOv5X4LfYrM?si=0EAg2jbWrKbGYN2W
Senegal,Lions de la Téranga,https://youtu.be/63woewuDU_Y?si=G7d4vlczMhM23uSx
Irak,Green Roar,https://youtu.be/RmCZ9Mj_sP8?si=CLxK90htjiz4LiDI
Noruega,Nordlys,https://youtu.be/cZMMBUC3NZ8?si=aOPhazvkbTDocyqC
Argentina,Efecto Espiral,https://youtu.be/lNI3K2ijrmM?si=YjEvvOjLIphrg0ZY
Argelia,Vert & Blanc Éternel,https://youtu.be/FIENvySHozE?si=EeX8x-FUDO9WwDwG
Austria,Alpenmodus,https://youtu.be/YxXkEnryGkI?si=SGluQbjO4BJBgIO1
Jordania,Nabd Al-Urdun,https://youtu.be/Rm8BWiQW8dw?si=LSKaP2vh-GxcvejI
Portugal,A História não Pesa,https://youtu.be/seC9tXKWOnA?si=EgnpI_INKBr2UmkT
R. D. del Congo,Makasi ya Mitema,https://youtu.be/i0b7RTFw5ao?si=D0sHZPW51LOusvKE
Uzbekistan,Oq bo'rilar,https://youtu.be/1E8bbEOfMbQ?si=qSyPUet6hD_6Pufu
Colombia,Ya nos toca,https://youtu.be/NtV0n5Cim8c?si=XeGVGgdxYJgmXeaY
Inglaterra,Coming Home,https://youtu.be/vEni61eOnb4?si=jLiInGtWDKT-nmDs
Croacia,Crveno-Bijeli,https://youtu.be/lkTT3sOjAc4
Ghana,Yɛreba,https://youtu.be/MqVv18NyOo4?si=hM35sqfHufbvCcuA
Panama,Canal en fuego,https://youtu.be/MKhO-7XOCHk?si=M4ChM96XjGlaXBe7
